"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"1717206","Piraquê (TO)","89940"
"1717503","Pium (TO)","361915"
"1717800","Ponte Alta do Bom Jesus (TO)","66158"
"1717909","Ponte Alta do Tocantins (TO)","121170"
"1718006","Porto Alegre do Tocantins (TO)","47043"
"1718204","Porto Nacional (TO)","3649421"
"1718303","Praia Norte (TO)","93139"
"1718402","Presidente Kennedy (TO)","65165"
"1718451","Pugmil (TO)","82663"
"1718501","Recursolândia (TO)","91480"
"1718550","Riachinho (TO)","68536"
"1718659","Rio da Conceição (TO)","29142"
"1718709","Rio dos Bois (TO)","85928"
"1718758","Rio Sono (TO)","111443"
"1718808","Sampaio (TO)","145863"
"1718840","Sandolândia (TO)","116736"
"1718865","Santa Fé do Araguaia (TO)","175927"
"1718881","Santa Maria do Tocantins (TO)","139630"
"1718899","Santa Rita do Tocantins (TO)","180273"
"1718907","Santa Rosa do Tocantins (TO)","307685"
"1719004","Santa Tereza do Tocantins (TO)","48098"
"1720002","Santa Terezinha do Tocantins (TO)","41931"
"1720101","São Bento do Tocantins (TO)","73590"
"1720150","São Félix do Tocantins (TO)","36541"
"1720200","São Miguel do Tocantins (TO)","255814"
"1720259","São Salvador do Tocantins (TO)","49467"
"1720309","São Sebastião do Tocantins (TO)","61804"
"1720499","São Valério (TO)","156734"
"1720655","Silvanópolis (TO)","240329"
"1720804","Sítio Novo do Tocantins (TO)","132862"
"1720853","Sucupira (TO)","532374"
"1720903","Taguatinga (TO)","318253"
"1720937","Taipas do Tocantins (TO)","35246"
"1720978","Talismã (TO)","146708"
"1721000","Palmas (TO)","10333419"
"1721109","Tocantínia (TO)","191373"
"1721208","Tocantinópolis (TO)","372642"
"1721257","Tupirama (TO)","118839"
"1721307","Tupiratins (TO)","38619"
"1722081","Wanderlândia (TO)","183424"
"1722107","Xambioá (TO)","471020"
"2100055","Açailândia (MA)","3828780"
"2100105","Afonso Cunha (MA)","85068"
"2100154","Água Doce do Maranhão (MA)","101672"
"2100204","Alcântara (MA)","148797"
"2100303","Aldeias Altas (MA)","249450"
"2100402","Altamira do Maranhão (MA)","71526"
"2100436","Alto Alegre do Maranhão (MA)","303156"
"2100477","Alto Alegre do Pindaré (MA)","251786"
"2100501","Alto Parnaíba (MA)","578991"
"2100550","Amapá do Maranhão (MA)","70213"
"2100600","Amarante do Maranhão (MA)","388693"
"2100709","Anajatuba (MA)","207643"
"2100808","Anapurus (MA)","149133"
"2100832","Apicum-Açu (MA)","133979"
"2100873","Araguanã (MA)","101754"
"2100907","Araioses (MA)","282823"
"2100956","Arame (MA)","290362"
"2101004","Arari (MA)","313303"
"2101103","Axixá (MA)","97443"
"2101202","Bacabal (MA)","1514711"
"2101251","Bacabeira (MA)","599322"
"2101301","Bacuri (MA)","122906"
"2101350","Bacurituba (MA)","39600"
"2101400","Balsas (MA)","6307610"
"2101509","Barão de Grajaú (MA)","268565"
"2101608","Barra do Corda (MA)","889327"
"2101707","Barreirinhas (MA)","635796"
"2101731","Belágua (MA)","60734"
"2101772","Bela Vista do Maranhão (MA)","107575"
"2101806","Benedito Leite (MA)","73162"
"2101905","Bequimão (MA)","138140"
"2101939","Bernardo do Mearim (MA)","105126"
"2101970","Boa Vista do Gurupi (MA)","67554"
"2102002","Bom Jardim (MA)","411430"
"2102036","Bom Jesus das Selvas (MA)","375736"
"2102077","Bom Lugar (MA)","117983"
"2102101","Brejo (MA)","328697"
"2102150","Brejo de Areia (MA)","71082"
"2102200","Buriti (MA)","277995"
"2102309","Buriti Bravo (MA)","238710"
"2102325","Buriticupu (MA)","748132"
"2102358","Buritirana (MA)","122497"
"2102374","Cachoeira Grande (MA)","60992"
"2102408","Cajapió (MA)","70673"
"2102507","Cajari (MA)","128111"
"2102556","Campestre do Maranhão (MA)","214038"
"2102606","Cândido Mendes (MA)","146821"
"2102705","Cantanhede (MA)","153436"
"2102754","Capinzal do Norte (MA)","284011"
"2102804","Carolina (MA)","525940"
"2102903","Carutapera (MA)","202040"
"2103000","Caxias (MA)","2112941"
"2103109","Cedral (MA)","78602"
"2103125","Central do Maranhão (MA)","58363"
"2103158","Centro do Guilherme (MA)","103761"
"2103174","Centro Novo do Maranhão (MA)","200805"
"2103208","Chapadinha (MA)","894509"
"2103257","Cidelândia (MA)","183588"
"2103307","Codó (MA)","1648786"
"2103406","Coelho Neto (MA)","462763"
"2103505","Colinas (MA)","553253"
"2103554","Conceição do Lago-Açu (MA)","147232"
"2103604","Coroatá (MA)","533670"
"2103703","Cururupu (MA)","264588"
"2103752","Davinópolis (MA)","190230"
"2103802","Dom Pedro (MA)","262586"
"2103901","Duque Bacelar (MA)","86926"
"2104008","Esperantinópolis (MA)","159009"
"2104057","Estreito (MA)","1138794"
"2104073","Feira Nova do Maranhão (MA)","118019"
"2104081","Fernando Falcão (MA)","100433"
"2104099","Formosa da Serra Negra (MA)","202181"
"2104107","Fortaleza dos Nogueiras (MA)","346720"
"2104206","Fortuna (MA)","143321"
"2104305","Godofredo Viana (MA)","2658714"
"2104404","Gonçalves Dias (MA)","150088"
"2104503","Governador Archer (MA)","91925"
"2104552","Governador Edison Lobão (MA)","375030"
"2104602","Governador Eugênio Barros (MA)","118448"
"2104628","Governador Luiz Rocha (MA)","71094"
"2104651","Governador Newton Bello (MA)","84191"
